Pertanyaan,Pilihan Ganda,Jawaban
"Perusahaan 'Kopi Kenangan' ingin memaksimalkan keuntungan total dari biji kopi hingga disajikan ke pelanggan. Ini berarti mereka harus fokus pada... (Bab 1)","a. Profitabilitas di setiap outlet saja.
b. Total profitabilitas yang dibagi ke seluruh tahapan, dari petani hingga outlet.
c. Meminimalkan biaya pembelian biji kopi tanpa peduli kualitas.
d. Mempercepat waktu penyajian kopi di atas segalanya.
e. Keuntungan dari divisi pemasaran saja.",b
"Sebuah pabrik mobil memproduksi rangka dan mesin dasar secara massal (push). Namun, pengecatan, pemasangan interior, dan aksesoris hanya dilakukan setelah pelanggan melakukan pemesanan (pull). Di mana 'push/pull boundary' terjadi? (Bab 1)","a. Saat pemasok mengirim komponen ke pabrik.
b. Saat pelanggan memesan mobil di dealer.
c. Saat mobil dasar selesai dirakit dan masuk ke penyimpanan sebelum kustomisasi.
d. Saat mobil selesai sepenuhnya dan dikirim ke dealer.
e. Saat dealer melakukan promosi mobil.",c
"Manajer perusahaan 'Sejahtera Abadi' memutuskan untuk membangun 5 pabrik baru di lokasi strategis untuk 10 tahun ke depan. Keputusan ini termasuk dalam fase... (Bab 1)","a. Supply Chain Operation
b. Supply Chain Planning
c. Supply Chain Strategy / Design
d. Customer Relationship Management
e. Daily Scheduling",c
"Setiap awal tahun, departemen perencanaan 'GarudaFood' membuat peramalan penjualan tahunan untuk menentukan tingkat produksi dan kebijakan inventori. Aktivitas ini merupakan bagian dari fase... (Bab 1)","a. Supply Chain Operation
b. Supply Chain Planning
c. Supply Chain Strategy / Design
d. Supplier Relationship Management
e. Order Fulfillment",b
"Setiap hari, gudang 'Shopee' menerima ribuan pesanan individual. Staf gudang harus mengalokasikan pesanan ke item yang ada dan menjadwalkan pengiriman. Ini adalah contoh dari fase... (Bab 1)","a. Supply Chain Operation
b. Supply Chain Planning
c. Supply Chain Strategy / Design
d. New Product Development
e. Strategic Sourcing",a
"Perusahaan 'Indofood' mengelola seluruh proses dari pengadaan gandum, produksi mi instan, hingga distribusi ke warung-warung. Sementara itu, 'JNE' hanya fokus pada proses pengiriman paket dari satu titik ke titik lain. 'Indofood' menjalankan SCM, sedangkan 'JNE' lebih fokus pada... (Bab 1)","a. Product Development
b. Logistics
c. Marketing
d. Sourcing
e. Manufacturing",b
"Manajer keuangan PT. 'Maju Mundur' mengeluh karena biaya gudang tinggi. Ia menyarankan untuk mengurangi inventori. Di sisi lain, manajer penjualan khawatir akan kehabisan stok. Untuk mencapai tujuan SCM, keputusan harus didasarkan pada... (Bab 1)","a. Keinginan manajer keuangan untuk menekan biaya.
b. Keinginan manajer penjualan untuk menaikkan stok.
c. Opsi yang memaksimalkan profitabilitas keseluruhan perusahaan, bukan per departemen.
d. Tren industri tanpa melihat kondisi internal.
e. Permintaan dari pemasok utama.",c
"Sebuah perusahaan mainan memproduksi model standar dalam jumlah besar untuk diisi ke toko-toko sebelum musim liburan. Ini adalah contoh dari proses... (Bab 1)","a. Pull
b. Push
c. Reactive
d. Make-to-Order
e. Engineer-to-Order",b
"Perusahaan 'Garam Nasional' menjual garam beryodium, sebuah produk komoditas dengan permintaan yang sangat stabil dan margin keuntungan rendah. Strategi supply chain yang paling cocok adalah... (Bab 2)","a. Responsive Supply Chain
b. Agile Supply Chain
c. Efficient Supply Chain
d. Innovative Supply Chain
e. Flexible Supply Chain",c
"Perusahaan 'Samsung' akan meluncurkan model smartphone lipat terbaru. Permintaannya sangat tidak pasti, namun margin keuntungannya sangat tinggi. Mereka harus memprioritaskan... (Bab 2)","a. Efisiensi biaya produksi di atas segalanya.
b. Responsivitas untuk memastikan produk tersedia saat permintaan memuncak.
c. Menggunakan moda transportasi termurah seperti kapal laut.
d. Menjaga tingkat inventori serendah mungkin.
e. Memilih pemasok berdasarkan harga terendah saja.",b
"Perusahaan 'Dell' memungkinkan pelanggan untuk memilih sendiri spesifikasi laptop (RAM, CPU, SSD) melalui website sebelum laptop tersebut dirakit. Ini adalah contoh dari strategi operasi... (Bab 2)","a. Make to Stock (MTS)
b. Make to Order (MTO)
c. Configure to Order (CTO)
d. Engineer to Order (ETO)
e. Make to Forecast (MTF)",c
"Sebuah perusahaan galangan kapal membangun kapal tanker minyak sesuai pesanan spesifik dari perusahaan pelayaran, dengan desain yang sangat kompleks dan unik. Strategi operasi yang digunakan adalah... (Bab 2)","a. Make to Stock (MTS)
b. Configure to Order (CTO)
c. Engineer to Order (ETO)
d. Mass Production
e. Assemble to Order (ATO)",c
"Perusahaan 'Nike' merasa bahwa desain sepatu adalah keunggulan kompetitif utama mereka. Namun, proses penjahitan dan perakitan bisa dilakukan lebih murah di Vietnam. Berdasarkan 'Outsourcing Strategy', Nike sebaiknya... (Bab 2)","a. Meng-outsource proses desain dan mempertahankan perakitan in-house.
b. Mempertahankan proses desain secara in-house dan meng-outsource perakitan.
c. Meng-outsource semua aktivitasnya.
d. Melakukan semua aktivitasnya secara in-house.
e. Hanya fokus pada pemasaran dan penjualan.",b
"Sebuah perusahaan farmasi meluncurkan obat baru. Di tahap awal (pengenalan), strategi SC mereka harus fokus pada responsivitas. Seiring waktu, saat obat menjadi generik dan banyak pesaing (tahap kedewasaan), strategi harus bergeser ke... (Bab 2)","a. Tetap responsif dengan biaya berapa pun.
b. Fokus pada efisiensi untuk menekan harga.
c. Meningkatkan variasi produk.
d. Menghentikan produksi.
e. Fokus pada inovasi fitur baru.",b
"Sebuah perusahaan gagal mencapai 'strategic fit' karena rantai pasoknya yang sangat efisien tidak mampu menangani permintaan pelanggan yang menginginkan produk yang sangat bervariasi dan pengiriman cepat. Ini adalah ketidakcocokan antara... (Bab 2)","a. Strategi pemasaran dan strategi keuangan.
b. Kapabilitas supply chain (efisien) dan prioritas strategi bersaing (responsif).
c. Strategi SDM dan strategi operasional.
d. Teknologi informasi dan proses produksi.
e. Kebutuhan pemasok dan kebutuhan distributor.",b
"Perusahaan 'Zara' yang bergerak di bidang fast fashion, di mana tren berubah mingguan, harus memiliki supply chain yang sangat responsif. Manakah karakteristik yang TIDAK sesuai untuk Zara? (Bab 2)","a. Menggunakan transportasi udara yang cepat meski mahal.
b. Memiliki buffer inventory untuk merespon permintaan tak terduga.
c. Memilih pemasok berdasarkan kecepatan dan fleksibilitas.
d. Fokus pada utilisasi kapasitas produksi yang tinggi dan stabil.
e. Menggunakan desain modular untuk mempercepat produksi.",d
"Perusahaan 'Unilever' ingin meningkatkan responsivitasnya terhadap permintaan pasar di Indonesia. Manakah keputusan fasilitas yang paling mendukung tujuan ini? (Bab 3)","a. Memusatkan semua produksi dan gudang di satu lokasi di Cikarang.
b. Membangun beberapa gudang distribusi (desentralisasi) yang lebih kecil di berbagai provinsi.
c. Mengurangi kapasitas produksi untuk menekan biaya.
d. Menggunakan metode produksi yang fokus pada proses (process focused).
e. Menutup semua fasilitas dan beralih ke outsourcing penuh.",b
"Supermarket 'Hero' memperhatikan bahwa setiap akhir pekan, permintaan minuman soda melonjak. Untuk mengantisipasi ini, mereka menambah stok minuman soda setiap hari Jumat. Persediaan tambahan ini disebut... (Bab 3)","a. Safety Inventory
b. Cycle Inventory
c. Seasonal Inventory
d. In-transit Inventory
e. Dead Stock",c
"Untuk mengirimkan komponen elektronik mendesak dari Taiwan ke Batam, sebuah pabrik memilih menggunakan kargo udara (air freight) daripada kapal laut (sea freight). Keputusan ini akan meningkatkan... (Bab 3)","a. Efisiensi transportasi dan menurunkan biaya.
b. Responsivitas supply chain namun dengan biaya transportasi yang lebih tinggi.
c. Waktu pengiriman (lead time) secara signifikan.
d. Kapasitas pengiriman per-batch.
e. Kebutuhan akan safety inventory.",b
"Perusahaan ritel 'Matahari' mengimplementasikan sistem ERP (Enterprise Resource Planning) yang memungkinkan semua departemen (gudang, penjualan, pembelian) melihat data inventori dan penjualan secara real-time. Penerapan pengendali (driver) 'Informasi' ini bertujuan untuk... (Bab 3)","a. Meningkatkan biaya operasional.
b. Mengurangi trade-off antara efisiensi dan responsivitas melalui koordinasi yang lebih baik.
c. Menambah jumlah pemasok yang tidak terintegrasi.
d. Memperlambat aliran produk dalam supply chain.
e. Hanya meningkatkan efisiensi tanpa mempengaruhi responsivitas.",b
"Sebuah perusahaan otomotif memutuskan untuk memproduksi sendiri mesin mobilnya (in-house) karena menganggapnya sebagai teknologi inti, namun membeli ban dari pemasok luar (outsource). Keputusan ini adalah bagian dari pengendali... (Bab 3)","a. Facilities
b. Inventory
c. Pricing
d. Sourcing
e. Transportation",d
"Maskapai 'AirAsia' menerapkan strategi 'dynamic pricing', di mana harga tiket lebih mahal saat permintaan tinggi (musim liburan) dan lebih murah saat permintaan rendah. Strategi ini merupakan contoh penggunaan pengendali 'Harga' untuk... (Bab 3)","a. Mencocokkan permintaan dan penawaran.
b. Selalu memberikan harga termurah kepada pelanggan.
c. Menurunkan biaya operasional pesawat.
d. Meningkatkan kapasitas inventory.
e. Memilih rute penerbangan baru.",a
"Perusahaan 'AlfaMart' ingin memastikan semua tokonya memiliki persediaan yang cukup tanpa menumpuk stok berlebih. Mereka berinvestasi pada sistem informasi canggih untuk memprediksi permintaan. Pengendali mana yang paling berperan di sini? (Bab 3)","a. Transportation
b. Information
c. Facilities
d. Sourcing
e. Pricing",b
"Sebuah perusahaan mebel rotan di Cirebon memutuskan untuk menggunakan truk untuk mengirim produknya ke Jakarta, bukan kereta api, karena truk menawarkan fleksibilitas rute dan jadwal yang lebih tinggi. Keputusan ini menyangkut komponen... (Bab 3)","a. Moda Transportasi
b. Lokasi Fasilitas
c. Cycle Inventory
d. Strategi Harga
e. Seleksi Pemasok",a
"Untuk menekan biaya penyimpanan, sebuah perusahaan berusaha memesan bahan baku dalam jumlah yang lebih kecil namun lebih sering. Tindakan ini secara langsung bertujuan untuk mengurangi... (Bab 3)","a. Safety Inventory
b. Seasonal Inventory
c. Cycle Inventory
d. Transportation Cost
e. Facility Cost",c
"Website e-commerce 'Lazada' tidak menyimpan sendiri semua produk yang dijualnya. Banyak penjual menyimpan barang di gudang masing-masing dan mengirimkannya langsung ke pelanggan setelah pesanan masuk melalui platform Lazada. Model distribusi ini adalah... (Bab 4)","a. Retail Storage with Customer Pickup
b. Manufacturer/Distributor Storage with Direct Shipping
c. Distributor Storage with Last Mile Delivery
d. Manufacturer Storage with In-Transit Merge
e. Retail Storage with Carrier Delivery",b
"Restoran 'Pizza Hut Delivery (PHD)' menyimpan semua bahan di cabangnya dan menggunakan armada motor sendiri untuk mengantar pesanan ke rumah pelanggan dalam 30 menit. Jaringan distribusi ini adalah contoh dari... (Bab 4)","a. Distributor Storage with Last Mile Delivery
b. Manufacturer Storage with Direct Shipping
c. Retail Storage with Customer Pickup
d. Distributor Storage with Carrier Delivery
e. Manufacturer Storage with Pickup Sites",a
"Perusahaan 'IKEA' memungkinkan pelanggan memesan secara online dan mengambil barangnya di 'pickup point' yang telah ditentukan. Model ini disebut... (Bab 4)","a. Manufacturer or Distributor Storage with Customer Pickup
b. Manufacturer Storage with Direct Shipping
c. Distributor Storage with Last Mile Delivery
d. Retail Storage with Customer Pickup
e. In-Transit Merge Network",a
"Toko buku 'Gramedia' menyimpan ribuan judul buku di setiap tokonya yang tersebar di seluruh Indonesia, di mana pelanggan bisa datang, melihat, dan langsung membeli. Ini adalah model jaringan distribusi... (Bab 4)","a. Manufacturer Storage with Direct Shipping
b. Distributor Storage with Last Mile Delivery
c. Retail Storage with Customer Pickup
d. Manufacturer Storage with Pickup Sites
e. In-Transit Merge Network",c
"Sebuah perusahaan ingin menjual suku cadang langka untuk mobil antik. Permintaannya sangat rendah dan tidak dapat diprediksi. Jaringan distribusi mana yang paling efisien dari segi biaya inventori? (Bab 4)","a. Menyimpan suku cadang di setiap bengkel di seluruh negeri (Retail Storage).
b. Menggunakan satu gudang pusat dan mengirim langsung ke pelanggan saat ada pesanan (Manufacturer/Distributor Storage with Direct Shipping).
c. Menggunakan jasa kurir instan dari beberapa gudang regional.
d. Membuka banyak pickup point di setiap kota.
e. Bekerja sama dengan supermarket untuk distribusi.",b
"Sebuah startup yang menjual sayuran organik segar ingin menawarkan pengiriman di hari yang sama ke pelanggan di area Jabodetabek. Model distribusi mana yang paling cocok untuk memenuhi janji 'response time' yang sangat cepat? (Bab 4)","a. Manufacturer Storage with Direct Shipping dari perkebunan di Lembang.
b. Distributor Storage with Last Mile Delivery dari sebuah gudang di Jakarta.
c. In-Transit Merge dari beberapa pemasok.
d. Retail Storage, dengan membuka banyak toko kecil di setiap kecamatan.
e. Manufacturer Storage with Customer Pickup di perkebunan.",b
"Perusahaan A menjual produk bernilai tinggi seperti perhiasan. Perusahaan B menjual paku dan baut. Jika keduanya ingin meminimalkan biaya logistik, Perusahaan A kemungkinan akan memilih jaringan dengan jumlah fasilitas yang... (Bab 4)","a. Lebih banyak dari Perusahaan B untuk keamanan.
b. Lebih sedikit (terpusat) untuk mengurangi total inventori dan risiko.
c. Sama dengan Perusahaan B.
d. Sangat banyak dan tersebar untuk responsivitas.
e. Tidak tetap dan berubah setiap hari.",b
"Jika 'Tokopedia' memutuskan untuk membangun lebih banyak gudang 'TokoCabang' di seluruh Indonesia, apa dampak yang paling mungkin terjadi pada biaya logistiknya? (Bab 4)","a. Biaya fasilitas dan inventori akan naik, sementara biaya transportasi (ke pelanggan) cenderung turun.
b. Semua komponen biaya (fasilitas, inventori, transportasi) akan turun.
c. Semua komponen biaya akan naik.
d. Biaya transportasi akan naik, sementara biaya inventori akan turun.
e. Hanya biaya informasi yang akan terpengaruh.",a
"Pelanggan membeli sebuah PC dari Bhinneka.com. CPU dikirim dari gudang A, monitor dari gudang B. Jasa kurir mengambil kedua barang, menggabungkannya di pusat transit, dan mengirimkannya dalam satu paket ke pelanggan. Ini adalah contoh... (Bab 4)","a. Direct Shipping
b. Last Mile Delivery
c. In-Transit Merge
d. Customer Pickup
e. Retail Storage",c
"Manakah skenario yang paling membutuhkan jaringan distribusi 'Last Mile Delivery'? (Bab 4)","a. Penjualan mobil mewah.
b. Distribusi semen ke proyek konstruksi.
c. Pengiriman makanan panas dari restoran ke rumah.
d. Penjualan buku di toko buku fisik.
e. Ekspor furnitur ke luar negeri.",c
"Sebuah perusahaan mengalami peningkatan keluhan pelanggan karena waktu tunggu yang lama. Untuk memperbaikinya, mereka menambah jumlah gudang dari 2 menjadi 10. Tindakan ini akan... (Bab 4)","a. Meningkatkan waktu respon dan biaya fasilitas.
b. Memperpanjang waktu respon dan menurunkan biaya inventori.
c. Meningkatkan waktu respon dan menurunkan biaya transportasi.
d. Menurunkan waktu respon dan meningkatkan biaya fasilitas serta inventori.
e. Menurunkan waktu respon dan menurunkan semua biaya.",d
"Perusahaan 'Cahaya Elektronik' ingin menjual berbagai macam model TV. Model mana yang paling memungkinkan mereka menawarkan variasi produk (product variety) terbanyak kepada pelanggan? (Bab 4)","a. Retail Storage with Customer Pickup (menyimpan semua model di setiap toko).
b. Manufacturer Storage with Direct Shipping (mengirim dari gudang pusat yang besar).
c. Distributor Storage with Last Mile Delivery.
d. Semua model menawarkan tingkat variasi yang sama.
e. In-Transit Merge.",b
"Perusahaan 'Aqua' menggunakan strategi 'Make to Stock' untuk produk air mineralnya karena permintaan yang stabil dan dapat diprediksi. Tujuan utama strategi ini adalah... (Bab 2)","a. Memenuhi pesanan kustom dari setiap pelanggan.
b. Mencapai efisiensi produksi dan biaya per unit yang rendah.
c. Meminimalkan jumlah persediaan di gudang.
d. Menawarkan variasi produk yang tak terbatas.
e. Mempercepat waktu desain produk baru.",b
"Ketika COVID-19 melanda, permintaan hand sanitizer melonjak secara tak terduga. Perusahaan yang memiliki 'Responsive Supply Chain' akan mampu... (Bab 2)","a. Mengabaikan lonjakan permintaan untuk menjaga efisiensi.
b. Secara cepat meningkatkan produksi dan distribusi untuk memenuhi permintaan.
c. Menurunkan harga untuk mengendalikan permintaan.
d. Menunggu hingga permintaan stabil kembali.
e. Hanya fokus pada penjualan produk yang sudah ada.",b
"Manajer 'Semen Tiga Roda' harus memutuskan apakah akan menggunakan truk atau kereta api untuk pengiriman antarpulau. Truk lebih mahal per ton-km tapi lebih fleksibel. Kereta api lebih murah tapi jadwalnya kaku. Keputusan ini adalah trade-off antara... (Bab 3)","a. Safety inventory vs Seasonal inventory.
b. Responsiveness/Flexibility vs Efficiency (Cost).
c. In-house vs Outsource.
d. Push vs Pull.
e. Pricing vs Sourcing.",b
"Seorang pelanggan bisa mendapatkan diskon jika membeli produk secara online dengan waktu pengiriman 5-7 hari, namun harus membayar harga penuh jika ingin mengambilnya langsung di toko. Ini adalah contoh penggunaan 'Pricing' untuk... (Bab 3)","a. Membedakan harga berdasarkan waktu respon yang ditawarkan.
b. Menghukum pelanggan yang datang ke toko.
c. Meningkatkan biaya transportasi.
d. Mengurangi variasi produk.
e. Memaksa semua pelanggan berbelanja online.",a
"Sebuah perusahaan rintisan (startup) ingin menjual kerajinan tangan unik secara online ke seluruh dunia. Modal mereka terbatas. Opsi jaringan distribusi mana yang paling logis untuk memulai? (Bab 4)","a. Membuka toko ritel di setiap negara.
b. Menyewa banyak gudang di berbagai benua.
c. Manufacturer Storage with Direct Shipping (membuat dan mengirim dari satu lokasi pusat).
d. Menggunakan jaringan Last Mile Delivery yang mahal.
e. Membangun fasilitas In-Transit Merge sendiri.",c
"Mengapa 'Returnability' (kemudahan pengembalian barang) pada model 'Retail Storage with Customer Pickup' dinilai sangat tinggi? (Bab 4)","a. Karena pelanggan harus mengirim kembali barang ke pabrik.
b. Karena pelanggan dapat dengan mudah kembali ke toko fisik untuk melakukan pengembalian.
c. Karena proses pengembalian dilakukan secara online.
d. Karena tidak ada kebijakan pengembalian barang.
e. Karena kurir akan datang menjemput barang retur.",b
"Perusahaan 'Apple' sangat menjaga rahasia desain produk barunya. Proses riset dan desain ini kemungkinan besar dilakukan... (Bab 2)","a. Secara outsource ke pihak ketiga yang paling murah.
b. Secara in-house karena merupakan pembeda strategis (strategic differentiator).
c. Bekerja sama secara terbuka dengan kompetitor.
d. Di fasilitas manufaktur di Tiongkok.
e. Tidak dilakukan sama sekali.",b
"Sebuah perusahaan memutuskan untuk menyederhanakan portofolio produknya, dari 100 varian menjadi 20 varian terlaris. Tindakan ini kemungkinan akan... (Bab 2)","a. Meningkatkan ketidakpastian permintaan (implied demand uncertainty).
b. Menurunkan ketidakpastian permintaan, memungkinkan supply chain yang lebih efisien.
c. Membuat supply chain harus lebih responsif.
d. Meningkatkan biaya inventori per produk.
e. Memperpendek siklus hidup produk.",b
